ID;Name;Coordinates
2977657;Saint-Paulet-de-Caisson;44.26276, 4.59748
2977683;Saint-Paul-de-Fenouillet;42.81052, 2.50438
2977927;Saint-Nauphary;43.96462, 1.42839
2979174;Saint-Jory;43.74146, 1.37089
2980313;Saint-Estève;42.7131, 2.84152
2980590;Sainte-Foy-de-Peyrolières;43.49312, 1.14588
2981178;Saint-Christol;43.72806, 4.07998
2984719;Quillan;42.87549, 2.18142
2991246;Mudaison;43.64616, 4.03916
2993348;Mondonville;43.67296, 1.28592
2994078;Meynes;43.88274, 4.56133
3009188;Lagardelle-sur-Lèze;43.41247, 1.38828
3012275;Jonquières-Saint-Vincent;43.82809, 4.56327
3014745;Grenade;43.77128, 1.29282
3018671;Ferrals-les-Corbières;43.14766, 2.72759
3019695;Espéraza;42.93503, 2.22082
3020584;Eauze;43.86071, 0.10061
3024463;Codognan;43.73214, 4.2195
3026233;Châteauneuf-du-Pape;44.05638, 4.83244
3028143;Caux;43.50754, 3.3675
3028274;Castillon-du-Gard;43.96991, 4.55445
3028652;Carbonne;43.29723, 1.2191
3028674;Caraman;43.52994, 1.75765
3028797;Canohès;42.65192, 2.83418
3035675;Avignonet-Lauragais;43.36672, 1.78619
3036363;Aubiet;43.64607, 0.78385
3036524;Assas;43.70278, 3.9
2967806;Viviez;44.55678, 2.21649
2968238;Villeveyrac;43.5009, 3.60616
2968544;Villeneuve-lès-Béziers;43.31491, 3.28003
2970669;Varilhes;43.04572, 1.62813
2971054;Valence;44.10823, 0.89101
2972237;Tournefeuille;43.58872, 1.31922
2973393;Tarascon;43.80583, 4.66028
2974775;Servian;43.42721, 3.30177
